,age,gender,child_total,dependants,socstatus_work_fl,socstatus_pens_fl,personal_income,agreement_rk,target,loan_num_total,loan_num_closed
0,21.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,63596287.0,0.0,1,0.0
1,21.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,64345856.0,0.0,1,0.0
2,21.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,62941277.0,0.0,2,1.0
3,21.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,64374643.0,0.0,1,1.0
4,21.0,0.0,0.0,0.0,не работает,пенсионер,25000.0,64420984.0,0.0,1,0.0
5,21.0,0.0,0.0,0.0,не работает,пенсионер,35000.0,66907136.0,0.0,1,0.0
6,21.0,1.0,0.0,0.0,не работает,пенсионер,8000.0,74660511.0,0.0,1,1.0
7,21.0,1.0,0.0,0.0,не работает,пенсионер,10000.0,66768278.0,1.0,1,1.0
8,21.0,1.0,0.0,0.0,не работает,пенсионер,12000.0,66197247.0,0.0,1,0.0
9,21.0,1.0,0.0,0.0,не работает,пенсионер,14000.0,75204709.0,1.0,1,0.0
10,21.0,1.0,0.0,0.0,не работает,пенсионер,35000.0,75069712.0,0.0,1,0.0
11,21.0,1.0,1.0,1.0,не работает,пенсионер,8000.0,65486914.0,0.0,1,1.0
12,21.0,1.0,1.0,1.0,не работает,пенсионер,10000.0,75281483.0,0.0,1,0.0
13,22.0,0.0,0.0,0.0,не работает,не пенсионер,250000.0,63994083.0,0.0,1,0.0
14,22.0,0.0,0.0,0.0,не работает,пенсионер,6000.0,61294452.0,0.0,1,0.0
15,22.0,0.0,0.0,0.0,не работает,пенсионер,6000.0,64342771.0,0.0,1,0.0
16,22.0,0.0,0.0,0.0,не работает,пенсионер,6500.0,73844919.0,0.0,1,0.0
17,22.0,0.0,0.0,0.0,не работает,пенсионер,7000.0,62245146.0,0.0,1,0.0
18,22.0,0.0,0.0,0.0,не работает,пенсионер,7000.0,63098102.0,1.0,1,0.0
19,22.0,0.0,0.0,0.0,не работает,пенсионер,7500.0,60447543.0,0.0,1,0.0
20,22.0,0.0,0.0,0.0,не работает,пенсионер,7500.0,61152467.0,1.0,1,0.0
21,22.0,0.0,0.0,0.0,не работает,пенсионер,8000.0,62483759.0,0.0,1,1.0
22,22.0,0.0,0.0,0.0,не работает,пенсионер,8000.0,62800005.0,0.0,1,0.0
23,22.0,0.0,0.0,0.0,не работает,пенсионер,8000.0,74560089.0,0.0,1,1.0
24,22.0,0.0,0.0,0.0,не работает,пенсионер,9000.0,61937922.0,0.0,1,1.0
25,22.0,0.0,0.0,0.0,не работает,пенсионер,9000.0,62018865.0,0.0,1,0.0
26,22.0,0.0,0.0,0.0,не работает,пенсионер,9000.0,63591005.0,1.0,1,0.0
27,22.0,0.0,0.0,0.0,не работает,пенсионер,9000.0,64839977.0,0.0,1,0.0
28,22.0,0.0,0.0,0.0,не работает,пенсионер,9000.0,65239038.0,0.0,1,1.0
29,22.0,0.0,0.0,0.0,не работает,пенсионер,9500.0,72290827.0,0.0,1,0.0
30,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,60089140.0,0.0,1,0.0
31,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,60093670.0,0.0,1,0.0
32,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,60455731.0,0.0,1,1.0
33,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,61114411.0,0.0,1,0.0
34,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,61244949.0,1.0,1,0.0
35,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,61253977.0,1.0,1,0.0
36,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,61415420.0,0.0,2,1.0
37,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,61528823.0,0.0,2,0.0
38,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,61929823.0,0.0,2,1.0
39,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,62031990.0,0.0,1,0.0
40,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,63989929.0,0.0,1,0.0
41,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,64562475.0,0.0,1,0.0
42,22.0,0.0,0.0,0.0,не работает,пенсионер,10000.0,64840785.0,0.0,1,0.0
43,22.0,0.0,0.0,0.0,не работает,пенсионер,10500.0,61471948.0,0.0,1,0.0
44,22.0,0.0,0.0,0.0,не работает,пенсионер,11000.0,61366250.0,0.0,1,0.0
45,22.0,0.0,0.0,0.0,не работает,пенсионер,11000.0,61460444.0,1.0,1,0.0
46,22.0,0.0,0.0,0.0,не работает,пенсионер,11000.0,64445857.0,0.0,1,0.0
47,22.0,0.0,0.0,0.0,не работает,пенсионер,11200.0,75212485.0,0.0,1,0.0
48,22.0,0.0,0.0,0.0,не работает,пенсионер,11500.0,62631094.0,0.0,1,0.0
49,22.0,0.0,0.0,0.0,не работает,пенсионер,11500.0,63313251.0,0.0,1,0.0
50,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,59961022.0,0.0,1,1.0
51,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,60465255.0,1.0,1,1.0
52,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,61159472.0,1.0,2,0.0
53,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,61308251.0,0.0,2,0.0
54,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,61420383.0,0.0,1,1.0
55,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,62136484.0,0.0,1,0.0
56,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,62509055.0,0.0,1,1.0
57,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,62777162.0,0.0,1,0.0
58,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,63626614.0,0.0,1,1.0
59,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,63911399.0,0.0,1,0.0
60,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,64570073.0,0.0,1,0.0
61,22.0,0.0,0.0,0.0,не работает,пенсионер,12000.0,73847681.0,0.0,2,0.0
62,22.0,0.0,0.0,0.0,не работает,пенсионер,12300.0,63317187.0,0.0,1,0.0
63,22.0,0.0,0.0,0.0,не работает,пенсионер,13000.0,61526476.0,1.0,1,0.0
64,22.0,0.0,0.0,0.0,не работает,пенсионер,13000.0,62770518.0,0.0,2,0.0
65,22.0,0.0,0.0,0.0,не работает,пенсионер,13000.0,63602198.0,0.0,1,0.0
66,22.0,0.0,0.0,0.0,не работает,пенсионер,13000.0,67436837.0,0.0,1,0.0
67,22.0,0.0,0.0,0.0,не работает,пенсионер,13500.0,74830550.0,0.0,1,0.0
68,22.0,0.0,0.0,0.0,не работает,пенсионер,14000.0,60049362.0,0.0,1,0.0
69,22.0,0.0,0.0,0.0,не работает,пенсионер,14000.0,61378552.0,0.0,1,0.0
70,22.0,0.0,0.0,0.0,не работает,пенсионер,14000.0,63630629.0,0.0,1,1.0
71,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,61067455.0,0.0,1,1.0
72,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,61104889.0,0.0,1,1.0
73,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,61108908.0,0.0,1,1.0
74,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,61160237.0,0.0,1,0.0
75,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,61367329.0,1.0,2,2.0
76,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,61428784.0,0.0,1,0.0
77,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,62135265.0,0.0,1,0.0
78,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,62440709.0,0.0,1,0.0
79,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,62942352.0,0.0,1,0.0
80,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,62952346.0,0.0,1,1.0
81,22.0,0.0,0.0,0.0,не работает,пенсионер,15000.0,62986872.0,0.0,1,0.0
